TABLE_NAME,CLEANUP_ORDER,CLEANUP_IND,CLEANUP_STATEMENT,CLEANUP_LOGIC,SEQ
TASK_REF_EXE_STATS,1,true,"DELETE FROM ${@TDMDB_SCHEMA}.TASK_REF_EXE_STATS WHERE TASK_EXECUTION_ID IN (SELECT TASK_EXECUTION_ID FROM ${@TDMDB_SCHEMA}.TASK_EXECUTION_LIST WHERE UPPER(EXECUTION_STATUS) NOT IN ('PENDING', 'RUNNING', 'WAITING') AND END_EXECUTION_TIME < ${TRUNC_DATE} AND EXPIRATION_DATE < ${TRUNC_DATE})",Clean records which belong to task executions that need to be cleaned,1
TASK_REF_EXE_STATS,1,true,DELETE FROM ${@TDMDB_SCHEMA}.TASK_REF_EXE_STATS WHERE TASK_ID IN (SELECT TASK_ID FROM ${@TDMDB_SCHEMA}.TASKS WHERE UPPER(TASK_STATUS) = 'INACTIVE' AND TASK_LAST_UPDATED_DATE <  ${TRUNC_DATE} ),Task execution belongs to Inactive task that need to be cleaned,2
TASK_EXECUTION_ENTITIES,1,true,"DELETE FROM ${@TDMDB_SCHEMA}.TASK_EXECUTION_ENTITIES WHERE TASK_EXECUTION_ID IN (SELECT TASK_EXECUTION_ID FROM ${@TDMDB_SCHEMA}.TASK_EXECUTION_LIST WHERE UPPER(EXECUTION_STATUS) NOT IN ('PENDING', 'RUNNING', 'WAITING') AND END_EXECUTION_TIME < ${TRUNC_DATE} AND EXPIRATION_DATE < ${TRUNC_DATE})",Entities belong to task execution IDs that need to be cleaned,3
TDM_SEQ_MAPPING,1,true,"DELETE FROM ${@TDMDB_SCHEMA}.TDM_SEQ_MAPPING WHERE TASK_EXECUTION_ID IN (SELECT TASK_EXECUTION_ID FROM ${@TDMDB_SCHEMA}.TASK_EXECUTION_LIST WHERE UPPER(EXECUTION_STATUS) NOT IN ('PENDING', 'RUNNING', 'WAITING') AND END_EXECUTION_TIME < ${TRUNC_DATE} AND EXPIRATION_DATE < ${TRUNC_DATE} )",Entities belong to task execution IDs that need to be cleaned,4
TASK_EXECUTION_LIST,2,true,"DELETE FROM ${@TDMDB_SCHEMA}.TASK_EXECUTION_LIST WHERE UPPER(EXECUTION_STATUS) NOT IN ('PENDING', 'RUNNING', 'WAITING') AND END_EXECUTION_TIME < ${TRUNC_DATE} AND EXPIRATION_DATE < ${TRUNC_DATE}",Task is not pending or running and end execution time < X months ago,5
TASK_EXECUTION_LIST,2,true,DELETE FROM ${@TDMDB_SCHEMA}.TASK_EXECUTION_LIST WHERE TASK_ID IN (SELECT TASK_ID FROM ${@TDMDB_SCHEMA}.TASKS WHERE UPPER(TASK_STATUS) = 'INACTIVE' AND TASK_LAST_UPDATED_DATE < ${TRUNC_DATE} ) AND EXPIRATION_DATE < ${TRUNC_DATE},Task execution belongs to Inactive task that need to be cleaned,6
TASK_REF_TABLES,3,true,DELETE FROM ${@TDMDB_SCHEMA}.TASK_REF_TABLES WHERE TASK_ID IN (SELECT TASK_ID FROM ${@TDMDB_SCHEMA}.TASKS WHERE UPPER(TASK_STATUS) = 'INACTIVE' AND TASK_LAST_UPDATED_DATE < ${TRUNC_DATE} ),Task execution belongs to Inactive task that need to be cleaned,7
TASK_GLOBALS,3,true,DELETE FROM ${@TDMDB_SCHEMA}.TASK_GLOBALS WHERE TASK_ID IN (SELECT TASK_ID FROM ${@TDMDB_SCHEMA}.TASKS WHERE UPPER(TASK_STATUS) = 'INACTIVE' AND TASK_LAST_UPDATED_DATE < ${TRUNC_DATE} ),Global belongs to a task that needs to be cleaned,8
TASKS_LOGICAL_UNITS,3,true,DELETE FROM ${@TDMDB_SCHEMA}.TASKS_LOGICAL_UNITS WHERE TASK_ID IN (SELECT TASK_ID FROM ${@TDMDB_SCHEMA}.TASKS WHERE UPPER(TASK_STATUS) = 'INACTIVE' AND TASK_LAST_UPDATED_DATE < ${TRUNC_DATE} ),Records belong to tasks that need to be cleaned,9
TASKS,4,true,DELETE FROM ${@TDMDB_SCHEMA}.TASKS WHERE UPPER(TASK_STATUS) = 'INACTIVE' AND TASK_LAST_UPDATED_DATE < ${TRUNC_DATE},Entities with task_status = 'Inactive' and task_last_updated_date < X months ago,10
